task_id,kernel,candidate,source,measurement_git_commit,profiling_mode,correctness_error_regression,candidate_source_sha256,candidate_normalized_sha256,baseline_source_sha256,driver_sha256,extra_correctness_drivers,raw_summary_sha256,raw_manifest_sha256,correct,stable,all_sessions_not_slower,baseline_median_us,baseline_p10_us,baseline_p90_us,baseline_session_medians_us,baseline_session_spread_percent,candidate_median_us,candidate_p10_us,candidate_p90_us,candidate_session_medians_us,candidate_session_spread_percent,attempted_speedup,session_speedups,confirmation_sessions,confirmation_ready,candidate_outcome,candidate_exclusion_reason,bootstrap_95_lower,bootstrap_95_upper,verified_improvement,selected_variant,selected_median_us,portfolio_speedup,pytorch_eager_method,pytorch_eager_median_us,pytorch_eager_stable,pytorch_eager_p10_us,pytorch_eager_p90_us,candidate_vs_pytorch_eager,selected_vs_pytorch_eager,pytorch_comparison_status,pytorch_best_method,pytorch_best_allocation_mode,pytorch_best_median_us,pytorch_best_stable,pytorch_best_p10_us,pytorch_best_p90_us,candidate_vs_pytorch_best,selected_vs_pytorch_best
004,Matrix-vector multiplication,row_block_half2,004_matvec_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,896fe35685ca50142d1eb9dcae9e398d6d158b2a059aceda87c6cf6c2c4ff107,4f854d900c206b655a21430a5a1763b6cdd20ff1a26ef02be39df0444c9e6036,8beb4786b3dbea3e23252ac892caa3fb6cf52b934d01194ee1460271143d7a27,e8e5fb659042a4e84a7c17d41c08f9c970500c841f8fdf6033dd19634292b4c6,"[{""name"":""004_matvec_edge_driver.cpp"",""sha256"":""8c031223c832e61e3ce0469f39260dbc247161b015183ded8d02bafa2572c6fa""}]",1c03d7f39840ca3c610d11bea1e54e0eaf777f68bd69b5e7ab12ed43f80fb48b,da837311a17d4306f40620cd307ff60bc97cfadeb0f43deae29eb2954189a398,True,True,True,19486.207962,17919.488143929997,20158.97636417,"[19547.1353531,19496.959686299997,19486.207962,19281.91947935,19325.4394531]",1.375464066396681,106.905603409,106.59840107,185.0060784817,"[107.008000215,106.905603409,106.803202629,106.803202629,106.905603409]",0.19175228921870513,182.2748980467335,"[182.6698500469683,182.3754701772594,182.44965958267025,180.5369034328417,180.77106191678874]",5,True,improved,,180.5369034328417,182.6698500469683,True,row_block_half2,106.905603409,182.2748980467335,pytorch_eager,110.28480529785156,True,109.56799983978271,198.31807613372803,1.0316092120627522,1.0316092120627522,comparable,pytorch_eager,framework_allocated,110.28480529785156,True,109.56799983978271,198.31807613372803,1.0316092120627522,1.0316092120627522
007,Small-K matrix multiplication,cublas_gemm_ex,007_small_k_matmul_cublas.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,319f2547c21b60cf2b5a16faa50ef59d3c3b47060c910e80a6adad147414d79c,e7a5f933ad28e662b5d9d024fefff7841d79355c04fa9deb38af75ea0748ac05,2c9a2da66dbded6a90f69beacf3f45445d7f9d600bd39343c261469d64c41f78,d0cdbed7000b8d81bc1c374f78e616290ebe9adb932b0a59238e9b613d024795,"[{""name"":""007_small_k_matmul_edge_driver.cpp"",""sha256"":""fd6f05e0ffc1c529a6ac7fce2a44297704a98e87e71121bc291b19dd30b6e3db""}]",6d8c4a13da0501d87cc0d963bbfb401ebaa4de663ce4ec2fb86c5ced592280a5,fc8fd53248e3be7211d99cc55eaf83ad7007a5615cddeb9e7d24b9ad90dd0361,True,True,True,9814.527988435,8901.63230896,12836.24982832,"[9771.00801468,9804.80003357,9814.527988435,10136.06405255,10106.879711149999]",3.73611440417958,829.695999622,810.495972633,1203.8655757920005,"[829.695999622,828.1599879265,829.952001572,829.1839957235,830.2080035209999]",0.24729709529045518,11.829065094813506,"[11.776612179800262,11.839258327510729,11.8254163732908,12.224143380512105,12.173912643922552]",5,True,improved,,11.776612179800262,12.224143380512105,True,cublas_gemm_ex,829.695999622,11.829065094813506,pytorch_eager,836.6079926490784,True,814.028799533844,1072.9471445083618,1.0083307537100665,1.0083307537100665,comparable,pytorch_preallocated_out,preallocated_out,834.559977054596,True,815.6160116195679,1062.6559853553772,1.00586236095487,1.00586236095487
019,ReLU,pack8_relu,019_relu_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,aca1687be2c7e48a16ca7b5d119c4c0c6c1f22175a7c9860d8a14cb99907b4b0,09c2402a11f75906d36355598ad9a15995a8e5df2dac6b1f4257494876359378,63c83a215dd5b20e45eea25601ded15dc7b49a6dabe1275042631ff4f798e6c0,dd4dfbae13f1b67c0513f9b94f5a9cf09916427da08b2ae103daaeace4f35ecc,[],15028e8dfb1e6103450962f00786e63743fd83720db5761613dccd06067526a3,7683b63e4b6ee8de18d6852fd3b77c8020d1e361de93f435b6521e49f7dca368,True,False,False,9.571755995775,9.013304950899,10.69119945167,"[9.78863160861,9.824864928785,9.453333293395001,9.303272447800001,9.571755995775]",5.606548490454499,9.57637795051,8.91099774275,11.087021437379999,"[9.53321741975,9.795368502015,9.612318362155001,9.55000865101,9.57637795051]",2.7498699622847234,0.9995173587802313,"[1.0267920238901567,1.003011262594555,0.9834602784916129,0.9741637717591068,0.9995173587802313]",5,True,inconclusive,session_spread_exceeded,0.9741637717591068,1.0267920238901567,False,upstream_baseline,9.571755995775,1.0,pytorch_eager,9.454602176703295,False,8.516207735561558,10.607324608969034,0.9872837335330713,0.9877604674499207,comparable,pytorch_preallocated_out,preallocated_out,19.27199959754944,True,17.295999452471733,23.95834941712638,2.0124518578052872,2.0134236190366903
023,Softmax,cached_softmax,023_softmax_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,7805fdb5d755675997122d4d85195577220adbb6cbda437e295e1f4b2462537d,df0a8f8987bb2b352dd9221c6fee88534acc7220ae545519758a1f70ae94bfab,337ea0b9d7825a8a5f67d9352907124149b0502e52a8075dbedba72dc9d79a50,71114e907bd74410a8989d89a5c6658a91c2b36519c1f376827c82a7fa91c01d,[],b988c68f44bf46f0820ebd9cce18f376feae3c576116613315a37bb659bed20a,79af9507702d64f7916260bc9d3a1a2932269cf65f055f50f4734fd0a456f33e,True,False,True,12.961684089,12.6949747403,19.507884793160002,"[15.5380869257,12.8525128731,12.961684089,13.364512950950001,12.879791971900001]",20.89532279886559,12.799999381900001,12.608000387699999,16.74823217751,"[12.810666735,12.799999381900001,12.780307959249999,12.7092660228,12.7999996528]",0.7978486878635671,1.0126316183521564,"[1.212902282692939,1.0041026166981115,1.0141918434460515,1.0515566301763226,1.0062337750987786]",5,True,inconclusive,session_spread_exceeded,1.0041026166981115,1.212902282692939,False,upstream_baseline,12.961684089,1.0,pytorch_eager,10.419199864069622,False,9.890088250762538,13.96187692850858,0.8140000286877374,0.803846150895772,comparable,pytorch_preallocated_out,preallocated_out,10.346901285779346,True,9.646261862125142,12.832346902022788,0.8083517019860572,0.7982682817088789
026,GELU,pack8_gelu,026_gelu_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,7db4d80be4629f83b35d1a3424c862f08d427844c3125b64387b9824a4e1b8d3,5d603cc16e460f5940c33c4fa1706470b548d0fcc89f6247a4025535040b0f13,69354e1074d1cd0ab420f3640d876a7b0ca96db8fdbb8bd080f6140b0e64ebe3,ddabc943f6a68a2443e30fbcaad6b459d649fb4684ec798b8faafb119cb9258e,[],a8a3746b57634e2fbf99c5965dafd4c18a746e2bd5e776b4c5c9466be98076c8,03071984862585d9b97444a0e6fcb0df60299061b87a5fe0baf8607e1cb07544,True,False,False,9.67163339667,8.793900326382,11.789220893320003,"[9.86987926874,9.48337780105,9.249684057735,9.67163339667,9.94674140859]",7.536012543824033,9.73552962144,8.92061510911,11.8125713601,"[10.01534717425,9.73552962144,9.462774873855,9.57046162624,10.12017023055]",6.947173164938514,0.993436800332949,"[0.9854755004515465,0.9740998353253736,0.9774811491385306,1.0105712529218664,0.9828630528924833]",5,True,inconclusive,session_spread_exceeded,0.9740998353253736,1.0105712529218664,False,upstream_baseline,9.67163339667,1.0,pytorch_eager,9.564662272213427,False,8.951742161986648,13.379484711896925,0.9824490956454716,0.9889397043840181,inconclusive,,,,False,,,,
036,RMSNorm,rmsnorm_v3c,../rmsnorm/best_rmsnorm_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,e5b37156dbc7cce22b225ee69a2ddd4b179bc280421e46e23e4cff1d2d777f7b,419d070ac8235eae06d5ce637f070116f9c5b798e2832ebb8d097179ab31596e,bb1189a1e6384af59caa0688a72d064df814a990f90b70df04e38b1e26ad2d42,31e64739cf1e77c9db74668c04f9980abe874d21a06907dc739388a323a0053e,"[{""name"":""edge_driver.cpp"",""sha256"":""5e148ada3cbb37c2dc71bc0694995d700457bf26ea814b4558a1f6b29ece21b7""}]",3e930954f257888aadcf48647e05050aa0b09eecae0bb4a616dfeda85e094135,1b80dedc94c3a042b93fd575ae779335a14b9b8148ab4ae5bc2cd3f3e8dbd5ee,True,True,True,32290.30418395,32107.21206665,34174.56741329,"[32605.1826477,32278.01513675,32290.30418395,32238.592147800002,32848.8960266]",1.8930847724429656,595.456004143,590.84802866,822.3232030869,"[594.944000244,596.992015839,596.992015839,595.2000021935,595.456004143]",0.3442367002877811,54.22785891700475,"[54.8037842794076,54.06775012122592,54.08833506520164,54.16430112397615,55.165949789820694]",5,True,improved,,54.06775012122592,55.165949789820694,True,rmsnorm_v3c,595.456004143,54.22785891700475,pytorch_eager,1050.112009048462,True,1043.455958366394,1664.0000343322754,1.7635425652644445,1.7635425652644445,comparable,pytorch_eager,framework_allocated_multiop,1050.112009048462,True,1043.455958366394,1664.0000343322754,1.7635425652644445,1.7635425652644445
040,LayerNorm,multiblock_layernorm,040_layernorm_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,21fe8b21d6f8a5b09e910d4a569484778bf823ac13fd41d9e383256566aca65a,f968cb248b2659cee615f245b7eef5cd4540eefcdfae199023f8c237324c2cbe,c0a217f7ceed27fa92a0de4856f55204a5512c648aff116a61e719441decaeed,8425fe034e0da66bea1e5f1a89b657ed0e91bb28655bd8b37d608ca48ac1a5f6,"[{""name"":""040_layernorm_edge_driver.cpp"",""sha256"":""da66aa42b99184c22ca759913251373bdd4ff4ac175548b6d9aec52f614f7816""}]",40ba6a72559e304abe702de34c7e72a58aed9413e769fad01b49968948f2fbd2,f58832bb1188b0f0eef1e329de0913f5d6fb24744785e93cf8f9b45bfbc10e31,True,True,True,15946.2399483,14820.249271350001,16999.423408540002,"[15851.00841525,15946.2399483,15873.5361099,16083.967208850001,16000.51259995]",1.4696780639891438,716.5439724925,709.631979465,1454.8479676270008,"[716.287970543,716.5439724925,717.823982239,711.9359970094999,717.823982239]",0.8270385616449438,22.254377345232513,"[22.129379617018763,22.254377345232513,22.113410115371284,22.591872410456833,22.29030095935499]",5,True,improved,,22.113410115371284,22.591872410456833,True,multiblock_layernorm,716.5439724925,22.254377345232513,pytorch_eager,6612.47992515564,True,6591.487884521484,7890.944004058838,9.228296069750069,9.228296069750069,comparable,pytorch_eager,framework_allocated,6612.47992515564,True,6591.487884521484,7890.944004058838,9.228296069750069,9.228296069750069
047,Sum reduction,spatial_half2_sum,047_sum_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,6e6ad757bccd037412c64423fbbe4aa5f84cbec2acd03aff5b73e9ba5a343984,4883e463edb9b52fdcc0071cb9f6360f21f4da9518b9d4464c7373e9fd73ce8a,3d2a0266a1926840f3e1a39a81020bd68ef960b2df2bd75618239ee33211a797,5cecfb6ab9954964550a377b1a4ba7102d12ef1c1dfc6e6427cdb5d938bcfe44,[],2e2d015a0a72c9ac763970101310d11f09feaa873e6e4b202adde590983f7718,c2ab7d6990d8502a2e94e66142a033c353a054f164982c133394d646529bdf08,True,False,True,19.5673043313,18.4584782244,29.65171884849001,"[24.0106669565,19.59437856805,19.5673043313,19.500521862,19.3212628365]",24.270691619293096,13.6286318302,13.2566489078,22.572022191010003,"[14.1353510522,13.390768797,13.462588191,13.6286318302,13.9263995488]",5.560414539953928,1.4357497197877456,"[1.6986254439547877,1.4632751013100775,1.4534578383955266,1.4308495603196458,1.38738392280041]",5,True,inconclusive,session_spread_exceeded,1.38738392280041,1.6986254439547877,False,upstream_baseline,19.5673043313,1.0,pytorch_eager,11.272752386891945,True,10.598400235176086,12.996558106042505,0.8271374946025317,0.5761014494398172,comparable,pytorch_eager,framework_allocated,11.272752386891945,True,10.598400235176086,12.996558106042505,0.8271374946025317,0.5761014494398172
088,MinGPT GELU,pack8_mingpt_gelu,088_mingpt_gelu_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,e22bdb10bb19fa3ff219c85c991a4eb521b8f59d5c6bd0f0eab42a0f0f0d2fbf,5db6e7f9031fcddae82e8989106c998a0a31c9ee0abf449f1a2c5a3e3ab7128a,e7e7a9a90cb3aaa3ff5d26f4c33d344f5d7ab36a526c48662b9eeef109c280a1,c39fb340659025848e374c6e24c1a5171d02728256cc2ab364547e9488b68599,[],2b5d913e70cd3dff1c1b85fe89726e6d525c4a13375213f16ead9154bc6f8a47,1c4c516bf5b4be14d1dc999babc7a17a470ec8d0a2769705c184413fa80d2487,True,True,True,28.2026661767,27.924756746,53.19818310197,"[27.9939464621,28.3022224903,28.2026661767,28.1884438462,28.2026661767]",1.1012238971642052,27.9608898693,27.869404973199998,46.481066279909996,"[27.9801085189,27.9324452082,27.9524326324,27.9608898693,27.9608898693]",0.17063780254371608,1.0086469460925656,"[1.0004945636000895,1.0132382710981367,1.0089521204680394,1.0081382952389453,1.0086469460925656]",5,True,no_improvement,formal_performance_gate_failed,1.0004945636000895,1.0132382710981367,False,upstream_baseline,28.2026661767,1.0,pytorch_driver_formula,244.32640075683594,True,242.68800020217896,480.2815914154053,8.738148245599904,8.66323769625332,comparable,pytorch_fused_gelu_tanh,framework_allocated_equivalent,27.93244520823161,True,27.846573011295217,47.715633302121596,0.9989826982903136,0.9904186020294905
095,Cross entropy loss,warp_cross_entropy,095_cross_entropy_sm86.cu,9c2ae8506332280c9dc8759a74b019409ca1c41a,events_only,passed,d408d254fb65aa373040163f4a9335b1785522bdc63c17ceb8eebaecc7ffefd7,dca78c62183ff04110ca3070cc2fb44c5b66a2736c28d6871f7ac8dce5b89761,35b4aba8bbcf85ee1c55ae25d17edea8e7b20545a63abd7a1365a5fd99f03b60,24978bd26aedb8dcfe92df3e59a8ecfe5d42cde8e94ccd0ffe0dc8c92f48f6c3,"[{""name"":""095_cross_entropy_edge_driver.cpp"",""sha256"":""dea96f0657f701409031aab5246b4761a5cf3d198a1990096c14e141127f7f4a""}]",63dcc8e357e87e5328a14a73a6044f8a6685f8f53272f5269c029a7b3a5257fc,b1e7d550ecefab46ad06eac74b7311a880f67997f9697aae6cf43fa2083034ca,True,False,True,565.7600164415,510.976016521,732.2623729707,"[565.7600164415,535.040020943,540.4160022735,609.2800199984999,581.37601614]",13.875597366464865,19.8050913486,18.557792824950003,23.437846352930002,"[20.0265135084,19.31999996305,20.2547192574,19.8050913486,19.6855170973]",4.838091594915506,28.566392675663824,"[28.250549762653165,27.693582917509204,26.680991990351117,30.76380761261014,29.533184892549237]",5,True,inconclusive,session_spread_exceeded,26.680991990351117,30.76380761261014,False,upstream_baseline,565.7600164415,1.0,pytorch_eager,58.25422207514445,True,57.472001761198044,110.24966080204335,2.941376086066999,0.10296631147876101,comparable,pytorch_eager,framework_allocated,58.25422207514445,True,57.472001761198044,110.24966080204335,2.941376086066999,0.10296631147876101
